,Dateof_Listing,Term,LoanStatus,BorrowerRate,Prosper_Rating,Listing,Occupation,EmploymentStatus,HomeOwner,DelinquenciesLast7Years,MonthlyIncome,LoanKey,OnTimeProsperPayments,Amountof_Loan
4,2013-09-14 18:38:39.097,36,Current,0.2085,D,2,Executive,Employed,True,0.0,9583.333333,A180369302188889200689E,11.0,15000
16,2013-07-16 12:42:48.680,60,Current,0.2809,E,6,Professional,Full-time,True,12.0,8291.666667,2C78368704199057024A715,67.0,4000
19,2013-08-21 06:49:02.093,60,Current,0.2225,D,1,Laborer,Employed,False,0.0,3075.0,A02836960150183071E32AD,12.0,6500
33,2010-10-10 13:23:30.757,36,Completed,0.0785,AA,7,Other,Employed,False,0.0,13083.333333,91E0360126027167265496D,8.0,16000
47,2013-05-01 08:18:59.183,36,Current,0.1299,A,1,Professional,Employed,True,0.0,5416.666667,76BB3680997666469826273,20.0,15000
54,2012-08-26 09:43:38.643,60,Current,0.1852,B,2,Executive,Employed,True,2.0,10000.0,3DAD365965028000797A896,8.0,18000
58,2013-07-22 08:03:33.437,60,Current,0.1519,B,1,Clergy,Employed,False,0.0,4666.666667,7BA83687804638461B3FFB1,1.0,8000
61,2013-12-05 11:15:32.567,36,Current,0.1274,B,19,Analyst,Employed,True,72.0,7108.333333,D33D37012238113149FE245,4.0,2000
67,2011-03-25 17:20:01.857,12,Completed,0.2669,E,1,Professional,Employed,False,0.0,4777.0,338F36217851092295848B8,12.0,3000
69,2014-01-25 12:07:54.537,60,Current,0.1139,A,1,Investor,Self-employed,True,0.0,2700.0,B08137048491184083D747A,16.0,9000
77,2011-02-17 05:52:07.960,36,Completed,0.1099,B,6,Analyst,Full-time,True,0.0,6466.666667,73133611746418789CAEC30,6.0,5600
82,2013-07-18 05:09:06.357,36,Past Due (16-30 days),0.2932,E,7,Other,Employed,False,0.0,4166.666667,F0B13687249606394E0D30C,6.0,4000
87,2012-05-30 08:40:11.343,36,Completed,0.2999,E,1,Professional,Employed,True,30.0,3333.333333,BE783651841136823C022A6,10.0,4000
97,2012-10-26 11:59:35.153,36,Current,0.1939,C,7,Sales - Retail,Employed,False,0.0,1500.0,6E8636649459659581817FD,32.0,2000
98,2014-01-26 10:13:04.513,36,Current,0.1355,B,1,Computer Programmer,Employed,True,10.0,6000.0,3AFC370360000314995EA05,35.0,4000
99,2013-09-03 08:45:13.893,60,Current,0.0869,AA,2,Other,Other,False,0.0,3750.0,3E0036932010839577D2E62,14.0,10000
100,2013-01-25 11:48:26.040,36,Chargedoff,0.3134,HR,13,Other,Not employed,False,0.0,0.0,9D203674230576864DAB261,7.0,4000
102,2009-08-25 13:37:08.130,36,Completed,0.1338,A,1,Professional,Full-time,True,1.0,15000.0,60B735657994093942AA7B2,14.0,10000
103,2012-04-17 11:58:52.270,36,Chargedoff,0.2287,D,3,Truck Driver,Self-employed,True,0.0,5000.0,3AB03648859759387133670,28.0,15000
106,2011-11-09 05:28:07.977,36,Current,0.1619,B,1,Other,Employed,False,0.0,4699.0,05A13636401850985F3C7E3,5.0,10000
109,2009-09-02 03:17:56.993,36,Completed,0.1234,C,1,Police Officer/Correction Officer,Full-time,True,0.0,5833.333333,EE3B3577746409358AE5CB1,22.0,2000
110,2010-11-21 16:34:22.307,36,Completed,0.31,HR,7,Nurse (RN),Full-time,True,0.0,4666.666667,8CA83604217927356E59CD1,4.0,3000
124,2013-08-21 14:38:44.203,60,Current,0.1769,B,1,Construction,Employed,True,0.0,7916.666667,E56936903318019301B77B3,12.0,15000
133,2012-08-06 16:58:47.380,60,Current,0.1364,A,11,Other,Employed,False,0.0,2750.0,D0D53658743287339A6001C,24.0,5000
138,2012-03-16 09:22:33.393,36,Defaulted,0.2999,E,6,Military Enlisted,Employed,True,23.0,3750.0,A6773646313973238A33299,3.0,3000
139,2012-03-22 19:11:18.370,36,Past Due (1-15 days),0.2999,E,2,Other,Other,False,20.0,1835.416667,CD4136462469565703D9DAA,10.0,2500
147,2009-09-04 13:01:25.240,36,Completed,0.0712,AA,6,Professional,Full-time,False,0.0,4169.333333,79D13567170266105A6A095,9.0,2200
149,2014-02-25 04:40:18.983,36,Current,0.2504,E,1,Professional,Employed,True,23.0,7166.666667,1C9C37081835026218057E9,1.0,3333
155,2012-04-24 12:50:16.713,60,Completed,0.183,B,3,Computer Programmer,Employed,False,0.0,6333.333333,FE3636498257014110CD493,4.0,15000
158,2014-02-12 16:31:25.340,36,Current,0.0809,AA,6,Tradesman - Mechanic,Employed,False,5.0,6666.666667,647F370507135609705F686,15.0,5500
174,2013-01-22 10:23:00.253,36,Current,0.0864,AA,1,Teacher,Employed,False,0.0,7083.333333,4FA73673544437783C6A90B,46.0,3600
177,2012-05-09 23:49:41.610,36,Current,0.1469,B,7,Social Worker,Employed,True,0.0,6250.0,130936508666435434981F5,14.0,2900
179,2011-12-16 03:50:25.970,36,Defaulted,0.3073,E,2,Postal Service,Employed,True,0.0,4583.333333,44BC36372930801559159FD,1.0,5500
183,2012-11-16 11:07:50.140,36,Current,0.1089,A,7,Attorney,Employed,True,15.0,6000.0,A97A3667293099426E5E2B0,6.0,2000
187,2013-08-16 15:29:16.643,36,Current,0.1679,B,14,Other,Other,True,0.0,4583.333333,F4DE3691339375815C0C321,12.0,3500
189,2013-12-29 21:01:37.923,60,Current,0.1585,C,2,Sales - Commission,Employed,True,0.0,9500.0,9E833701818404225723132,30.0,24800
